Actual,Prediction,Team,Season,SUBSET
0.0,-1.3831664424076968,Bulls,2001,TRAIN
0.0,-0.8081158541415768,Grizzlies,2001,TRAIN
0.0,-0.6380967063185635,Warriors,2001,TRAIN
0.0,-0.22806654935391757,Hawks,2001,TRAIN
0.0,0.10000834298232834,Wizards,2001,TRAIN
0.0,0.7456736609746436,Clippers,2001,TRAIN
0.0,0.8933337758895996,Rockets,2001,TRAIN
0.0,0.9594227079032496,Cavaliers,2001,TRAIN
0.0,1.1504946281454513,Nuggets,2001,TRAIN
0.0,1.4801491373706073,Suns,2001,TRAIN
11.0,1.5383623927764853,Nets,2001,TRAIN
2.0,2.3628726742278254,Thunder,2001,TRAIN
9.0,2.7777209086866614,Celtics,2001,TRAIN
2.0,2.8363940758193373,Pacers,2001,TRAIN
4.0,3.0649636124647777,Pistons,2001,TRAIN
2.0,3.161136538525315,Raptors,2001,TRAIN
0.0,3.451932334146553,Heat,2001,TRAIN
4.0,3.455188889786319,Mavericks,2001,TRAIN
0.0,3.619403549880134,Bucks,2001,TRAIN
0.0,3.800317528455293,Timberwolves,2001,TRAIN
2.0,3.8288825347032094,76ers,2001,TRAIN
0.0,4.30085460528335,Trail Blazers,2001,TRAIN
4.0,4.530893062670386,Hornets,2001,TRAIN
1.0,6.211424065628789,Magic,2001,TRAIN
10.0,6.320136972231047,Kings,2001,TRAIN
1.0,6.755122681338895,Jazz,2001,TRAIN
4.0,7.45888104482779,Spurs,2001,TRAIN
0.0,7.737710746594331,Knicks,2001,TRAIN
15.0,7.835031912605169,Lakers,2001,TRAIN
0.0,-0.6419066391538539,Warriors,2002,TRAIN
0.0,-0.6037938240943311,Nuggets,2002,TRAIN
0.0,-0.37348425588116535,Grizzlies,2002,TRAIN
0.0,0.10421495225197151,Rockets,2002,TRAIN
0.0,0.1157167062612899,Bulls,2002,TRAIN
0.0,0.39637286640268443,Cavaliers,2002,TRAIN
0.0,0.6943329517892114,Hawks,2002,TRAIN
0.0,1.0524721914517285,Wizards,2002,TRAIN
0.0,1.0749884407496226,Clippers,2002,TRAIN
0.0,1.1459564272608516,Heat,2002,TRAIN
0.0,1.2780682953979168,Knicks,2002,TRAIN
0.0,2.461745965101991,Thunder,2002,TRAIN
2.0,2.5075428619915376,Suns,2002,TRAIN
0.0,2.999158921584676,Raptors,2002,TRAIN
14.0,3.2654110761969397,Nets,2002,TRAIN
2.0,3.317624813268593,Bucks,2002,TRAIN
3.0,3.334113108615617,Magic,2002,TRAIN
1.0,3.453365010142314,Jazz,2002,TRAIN
4.0,3.4654556335088804,Celtics,2002,TRAIN
6.0,3.4779185924081064,76ers,2002,TRAIN
2.0,3.795857763034846,Pacers,2002,TRAIN
8.0,3.869323795055864,Pistons,2002,TRAIN
3.0,4.114199434463976,Trail Blazers,2002,TRAIN
2.0,4.23524550221514,Timberwolves,2002,TRAIN
10.0,4.242863528410615,Mavericks,2002,TRAIN
7.0,4.3978956181503515,Kings,2002,TRAIN
16.0,4.69822675466739,Spurs,2002,TRAIN
6.0,4.906276972990344,Lakers,2002,TRAIN
1.0,-0.9181942948239772,Nuggets,2003,TRAIN
0.0,-0.24056913298362914,Cavaliers,2003,TRAIN
0.0,-0.00523591590609764,Clippers,2003,TRAIN
0.0,0.1467710031823152,Grizzlies,2003,TRAIN
0.0,0.296150871710272,Wizards,2003,TRAIN
0.0,0.33786342740880604,Bulls,2003,TRAIN
0.0,0.5606360866158004,Thunder,2003,TRAIN
0.0,0.6709589668870565,Raptors,2003,TRAIN
0.0,0.7866613566353571,Hawks,2003,TRAIN
0.0,1.0400198868569408,Trail Blazers,2003,TRAIN
0.0,1.0870075070439247,Magic,2003,TRAIN
0.0,1.124230549514032,Suns,2003,TRAIN
6.0,2.0110867515454665,Heat,2003,TRAIN
0.0,2.437059341714797,Jazz,2003,TRAIN
1.0,2.463172150095888,Bucks,2003,TRAIN
0.0,3.033219335837081,76ers,2003,TRAIN
0.0,3.0683311357868446,Celtics,2003,TRAIN
0.0,3.257277903877791,Warriors,2003,TRAIN
10.0,3.5586685498949318,Pacers,2003,TRAIN
0.0,3.586623517476396,Knicks,2003,TRAIN
16.0,3.798777197284762,Pistons,2003,TRAIN
7.0,3.837270497299686,Nets,2003,TRAIN
6.0,4.17400731936175,Spurs,2003,TRAIN
3.0,4.577795183883876,Pelicans,2003,TRAIN
1.0,4.689235420268192,Rockets,2003,TRAIN
1.0,5.308320991864142,Mavericks,2003,TRAIN
10.0,7.18294091000035,Timberwolves,2003,TRAIN
7.0,7.700540424149449,Kings,2003,TRAIN
13.0,8.261096013770242,Lakers,2003,TRAIN
4.0,-0.5659221455422997,Wizards,2004,TRAIN
0.0,-0.2443267928718985,Clippers,2004,TRAIN
2.0,-0.01872880460290629,Bulls,2004,TRAIN
0.0,0.18760301925060363,Magic,2004,TRAIN
0.0,0.2470696586764215,Hawks,2004,TRAIN
0.0,0.6764661870342961,Jazz,2004,TRAIN
0.0,0.9792342351022102,Bucks,2004,TRAIN
0.0,1.16632177273188,Warriors,2004,TRAIN
0.0,1.2303533448044102,Grizzlies,2004,TRAIN
0.0,1.2698951412922994,Pelicans,2004,TRAIN
0.0,2.5296847002161096,Raptors,2004,TRAIN
1.0,2.606480874272674,76ers,2004,TRAIN
1.0,2.6081039341593515,Nuggets,2004,TRAIN
0.0,2.68340803989809,Cavaliers,2004,TRAIN
6.0,2.699721359574112,Thunder,2004,TRAIN
3.0,2.742987823378316,Celtics,2004,TRAIN
0.0,2.7968940983240484,Trail Blazers,2004,TRAIN
9.0,2.8204137894847556,Suns,2004,TRAIN
0.0,3.1052344384301307,Nets,2004,TRAIN
0.0,3.4217830617592218,Knicks,2004,TRAIN
6.0,4.024350650254808,Mavericks,2004,TRAIN
11.0,4.1589540907960885,Heat,2004,TRAIN
0.0,4.270083222129822,Lakers,2004,TRAIN
1.0,4.399186281491381,Kings,2004,TRAIN
6.0,4.5629350269890265,Pacers,2004,TRAIN
3.0,4.877609691636193,Rockets,2004,TRAIN
0.0,5.151643783785041,Timberwolves,2004,TRAIN
15.0,6.548430175379547,Pistons,2004,TRAIN
16.0,7.205761650331195,Spurs,2004,TRAIN
0.0,-0.9890609853308413,Hawks,2005,TRAIN
0.0,-0.5803028076071197,Hornets,2005,TRAIN
0.0,-0.47720238171453544,Trail Blazers,2005,TRAIN
0.0,-0.2853191287530058,Pelicans,2005,TRAIN
0.0,0.17926779143577493,Jazz,2005,TRAIN
0.0,0.3995619836677666,Raptors,2005,TRAIN
0.0,0.9830054981791283,76ers,2005,TRAIN
0.0,1.0436205965341465,Magic,2005,TRAIN
3.0,1.1056318238242206,Lakers,2005,TRAIN
0.0,1.2581127672213097,Timberwolves,2005,TRAIN
0.0,1.4780776123537152,Celtics,2005,TRAIN
0.0,1.6381339437462377,Grizzlies,2005,TRAIN
0.0,1.7422378394480957,Knicks,2005,TRAIN
1.0,2.085388858320625,Bucks,2005,TRAIN
0.0,2.195050339059932,Warriors,2005,TRAIN
7.0,2.6497974015561048,Cavaliers,2005,TRAIN
2.0,2.877016880008365,Wizards,2005,TRAIN
2.0,3.1206972580930836,Bulls,2005,TRAIN
7.0,3.176433837320057,Clippers,2005,TRAIN
0.0,3.176645896120832,Thunder,2005,TRAIN
1.0,3.3602667433611586,Nuggets,2005,TRAIN
2.0,3.56479702253693,Pacers,2005,TRAIN
5.0,3.7364364151790928,Nets,2005,TRAIN
2.0,3.8412687106534156,Kings,2005,TRAIN
10.0,4.581412307630391,Suns,2005,TRAIN
10.0,4.989934708028914,Pistons,2005,TRAIN
7.0,5.3253277435743165,Spurs,2005,TRAIN
14.0,6.701427084760331,Mavericks,2005,TRAIN
0.0,6.797469251584578,Rockets,2005,TRAIN
16.0,7.942188920782327,Heat,2005,TRAIN
0.0,-0.3666472437639884,Trail Blazers,2006,TRAIN
0.0,-0.16968999993732545,Hornets,2006,TRAIN
2.0,0.10165510413553222,Raptors,2006,TRAIN
0.0,0.5566148986193169,Hawks,2006,TRAIN
0.0,0.7586978328290535,76ers,2006,TRAIN
0.0,0.7989654032964396,Thunder,2006,TRAIN
0.0,0.8776894427112124,Pelicans,2006,TRAIN
0.0,0.9510613303326194,Bucks,2006,TRAIN
0.0,1.029061014900421,Magic,2006,TRAIN
0.0,1.0908298800704563,Grizzlies,2006,TRAIN
0.0,1.372610676011942,Celtics,2006,TRAIN
0.0,1.4527701474590005,Wizards,2006,TRAIN
0.0,1.7610154906259232,Clippers,2006,TRAIN
5.0,2.1674511526390154,Warriors,2006,TRAIN
0.0,2.715220152513257,Knicks,2006,TRAIN
0.0,2.7569810307261866,Pacers,2006,TRAIN
6.0,2.9312106611975217,Bulls,2006,TRAIN
0.0,3.318316915666332,Timberwolves,2006,TRAIN
1.0,3.337980038454101,Nuggets,2006,TRAIN
9.0,3.3780367715929795,Jazz,2006,TRAIN
1.0,3.3922954255341637,Lakers,2006,TRAIN
0.0,3.946633547657717,Kings,2006,TRAIN
6.0,4.040638100431501,Nets,2006,TRAIN
3.0,5.3962177528191955,Rockets,2006,TRAIN
10.0,5.484805243990013,Pistons,2006,TRAIN
12.0,6.949314527380858,Cavaliers,2006,TRAIN
6.0,7.206568364531985,Suns,2006,TRAIN
2.0,7.226228887661469,Mavericks,2006,TRAIN
16.0,7.756606936162531,Spurs,2006,TRAIN
0.0,7.932538813063808,Heat,2006,TRAIN
0.0,-0.9243884569330156,Trail Blazers,2007,TRAIN
3.0,-0.11289025179819616,Hawks,2007,TRAIN
0.0,-0.001469694988800508,Grizzlies,2007,TRAIN
0.0,0.3019788594357912,Thunder,2007,TRAIN
2.0,0.32714619191479705,76ers,2007,TRAIN
0.0,0.4469691275433859,Bucks,2007,TRAIN
0.0,0.717895699983012,Pacers,2007,TRAIN
0.0,0.8492730092250018,Warriors,2007,TRAIN
0.0,1.047206380995002,Hornets,2007,TRAIN
0.0,1.2807486411818996,Timberwolves,2007,TRAIN
0.0,1.4694069306295527,Kings,2007,TRAIN
0.0,1.491972811403883,Clippers,2007,TRAIN
7.0,2.9832016500047063,Pelicans,2007,TRAIN
1.0,2.985571845630029,Raptors,2007,TRAIN
2.0,3.11548222366735,Wizards,2007,TRAIN
0.0,3.395215826674533,Heat,2007,TRAIN
5.0,3.485884948960863,Magic,2007,TRAIN
