Actual,Prediction,Team,Season,SUBSET
0.0,-1.5804188556234189,Bulls,2001,TRAIN
0.0,-0.9807377756080957,Grizzlies,2001,TRAIN
0.0,-0.8290616407525104,Warriors,2001,TRAIN
0.0,-0.3886693324962991,Hawks,2001,TRAIN
0.0,-0.0224455118859848,Wizards,2001,TRAIN
0.0,0.6715015890920306,Clippers,2001,TRAIN
0.0,0.779357478890375,Rockets,2001,TRAIN
0.0,0.8521627627821939,Cavaliers,2001,TRAIN
0.0,1.0568580349462326,Nuggets,2001,TRAIN
0.0,1.403678969288229,Suns,2001,TRAIN
11.0,1.406650166407678,Nets,2001,TRAIN
2.0,2.303551235877604,Thunder,2001,TRAIN
9.0,2.712933860026761,Celtics,2001,TRAIN
2.0,2.775956037861044,Pacers,2001,TRAIN
4.0,3.000197947521219,Pistons,2001,TRAIN
2.0,3.0919464107512256,Raptors,2001,TRAIN
0.0,3.4087490183970517,Heat,2001,TRAIN
4.0,3.4234659866833552,Mavericks,2001,TRAIN
0.0,3.581467323938316,Bucks,2001,TRAIN
0.0,3.7719295186610897,Timberwolves,2001,TRAIN
2.0,3.8209055085658266,76ers,2001,TRAIN
0.0,4.289934759219202,Trail Blazers,2001,TRAIN
4.0,4.5456960622182585,Hornets,2001,TRAIN
1.0,6.209173109597479,Magic,2001,TRAIN
10.0,6.32058966056559,Kings,2001,TRAIN
1.0,6.795260564426714,Jazz,2001,TRAIN
4.0,7.511659414673783,Spurs,2001,TRAIN
0.0,7.849033855255042,Knicks,2001,TRAIN
15.0,7.912942567070564,Lakers,2001,TRAIN
0.0,-0.8292158697224545,Warriors,2002,TRAIN
0.0,-0.7797691570819799,Nuggets,2002,TRAIN
0.0,-0.5524436853820844,Grizzlies,2002,TRAIN
0.0,-0.06025521808034996,Rockets,2002,TRAIN
0.0,-0.023808972799302858,Bulls,2002,TRAIN
0.0,0.27608094202624983,Cavaliers,2002,TRAIN
0.0,0.5853776736301576,Hawks,2002,TRAIN
0.0,0.93638326609803,Wizards,2002,TRAIN
0.0,0.969491622670021,Clippers,2002,TRAIN
0.0,1.0873281577553129,Heat,2002,TRAIN
0.0,1.1912351050799954,Knicks,2002,TRAIN
0.0,2.3596764633851306,Thunder,2002,TRAIN
2.0,2.4144331214901906,Suns,2002,TRAIN
0.0,2.9433481275565465,Raptors,2002,TRAIN
14.0,3.1898666010409196,Nets,2002,TRAIN
2.0,3.255838824473567,Bucks,2002,TRAIN
