Actual,Prediction,Team,Season,SUBSET
0.0,-2.4410438005602235,Bulls,2001,TRAIN
0.0,-1.4442414284993144,Grizzlies,2001,TRAIN
0.0,-1.0922607116352343,Warriors,2001,TRAIN
0.0,-0.36371566913008474,Hawks,2001,TRAIN
0.0,0.1401441681763925,Wizards,2001,TRAIN
11.0,0.15456533442808973,Nets,2001,TRAIN
0.0,1.2364592286006872,Clippers,2001,TRAIN
2.0,1.4972131312819714,Thunder,2001,TRAIN
0.0,1.6135810822243664,Rockets,2001,TRAIN
0.0,1.712960538262309,Cavaliers,2001,TRAIN
0.0,2.0435860293019523,Nuggets,2001,TRAIN
9.0,2.282664009794947,Celtics,2001,TRAIN
4.0,2.390167632077756,Pistons,2001,TRAIN
2.0,2.455181238094925,Pacers,2001,TRAIN
2.0,2.5596305275612794,Raptors,2001,TRAIN
0.0,2.565630563692935,Suns,2001,TRAIN
0.0,3.052461991904673,Heat,2001,TRAIN
4.0,3.479703847057792,Mavericks,2001,TRAIN
0.0,3.7706352145579296,Bucks,2001,TRAIN
1.0,4.078250730300491,Magic,2001,TRAIN
2.0,4.112685608366601,76ers,2001,TRAIN
0.0,4.121104156952931,Timberwolves,2001,TRAIN
10.0,4.261595798768884,Kings,2001,TRAIN
1.0,4.996122215839289,Jazz,2001,TRAIN
0.0,4.998698689404877,Trail Blazers,2001,TRAIN
4.0,5.394883913636554,Hornets,2001,TRAIN
4.0,6.294912615239772,Spurs,2001,TRAIN
0.0,6.671683191460133,Knicks,2001,TRAIN
15.0,6.921723630933047,Lakers,2001,TRAIN
0.0,-1.1098389558934887,Warriors,2002,TRAIN
0.0,-1.0319787922511892,Nuggets,2002,TRAIN
0.0,-0.5922621838124911,Grizzlies,2002,TRAIN
0.0,0.21787657697072946,Bulls,2002,TRAIN
0.0,0.26394352578016755,Rockets,2002,TRAIN
0.0,0.6824198593787763,Cavaliers,2002,TRAIN
0.0,1.2020820596726525,Hawks,2002,TRAIN
0.0,1.7937190417880693,Thunder,2002,TRAIN
2.0,1.8376107142460536,Suns,2002,TRAIN
0.0,1.8776130805837472,Wizards,2002,TRAIN
0.0,1.922411423597312,Clippers,2002,TRAIN
0.0,1.9392505836195417,Heat,2002,TRAIN
0.0,2.2475266087579513,Knicks,2002,TRAIN
0.0,2.6852251600480295,Raptors,2002,TRAIN
14.0,3.2148357170395134,Nets,2002,TRAIN
3.0,3.3295336497623604,Magic,2002,TRAIN
2.0,3.3329689422122044,Bucks,2002,TRAIN
4.0,3.486748223348613,Celtics,2002,TRAIN
1.0,3.4885124153110754,Jazz,2002,TRAIN
6.0,3.611736512329752,76ers,2002,TRAIN
8.0,3.821157129268025,Pistons,2002,TRAIN
2.0,4.101251484565003,Pacers,2002,TRAIN
2.0,4.465947388848892,Timberwolves,2002,TRAIN
3.0,4.711390532014157,Trail Blazers,2002,TRAIN
10.0,4.914720135090338,Mavericks,2002,TRAIN
7.0,5.201208643212456,Kings,2002,TRAIN
6.0,5.6487481345894235,Lakers,2002,TRAIN
16.0,5.699822590189318,Spurs,2002,TRAIN
1.0,-1.606947138700107,Nuggets,2003,TRAIN
0.0,-0.44050395040638923,Cavaliers,2003,TRAIN
0.0,-0.01257124296223438,Clippers,2003,TRAIN
0.0,0.3267900155781829,Grizzlies,2003,TRAIN
0.0,0.5410373725004882,Wizards,2003,TRAIN
0.0,0.7085872597932923,Bulls,2003,TRAIN
6.0,0.9873227897237578,Heat,2003,TRAIN
0.0,1.0036953550827776,Thunder,2003,TRAIN
0.0,1.155669921294072,Raptors,2003,TRAIN
0.0,1.3971654919769596,Hawks,2003,TRAIN
0.0,1.6899869600861759,Jazz,2003,TRAIN
1.0,1.7782538013531801,Bucks,2003,TRAIN
0.0,1.7902227576124057,Trail Blazers,2003,TRAIN
0.0,1.9408666496212272,Magic,2003,TRAIN
0.0,2.0223851088355045,Suns,2003,TRAIN
0.0,2.7789237648006977,76ers,2003,TRAIN
0.0,2.8225025517370077,Celtics,2003,TRAIN
0.0,3.138864768417704,Warriors,2003,TRAIN
10.0,3.2683411578522445,Pacers,2003,TRAIN
7.0,3.7268585889316572,Nets,2003,TRAIN
0.0,3.7549964834863103,Knicks,2003,TRAIN
16.0,4.119673231679609,Pistons,2003,TRAIN
6.0,4.776929470104399,Spurs,2003,TRAIN
3.0,5.463600474631335,Pelicans,2003,TRAIN
1.0,5.6396449189307365,Rockets,2003,TRAIN
10.0,5.721732751206246,Timberwolves,2003,TRAIN
7.0,6.731330767943839,Kings,2003,TRAIN
1.0,6.846474103731515,Mavericks,2003,TRAIN
13.0,7.6462727877678125,Lakers,2003,TRAIN
4.0,-0.9646427084270357,Wizards,2004,TRAIN
0.0,-0.405347882243301,Clippers,2004,TRAIN
2.0,-0.11673682986962484,Bulls,2004,TRAIN
