Actual,Prediction,Team,Season,SUBSET
0.0,-2.470251352847181,Bulls,2001,TRAIN
0.0,-1.6315184757035368,Grizzlies,2001,TRAIN
0.0,-0.42852615029242136,Warriors,2001,TRAIN
0.0,-0.37563691657324183,Wizards,2001,TRAIN
0.0,0.02760095226398729,Clippers,2001,TRAIN
0.0,0.15284905182897202,Hawks,2001,TRAIN
2.0,0.3209730076587012,Thunder,2001,TRAIN
11.0,0.5370185357104598,Nets,2001,TRAIN
9.0,1.9350556910904078,Celtics,2001,TRAIN
0.0,2.0286097493845796,Cavaliers,2001,TRAIN
0.0,2.141490143506685,Rockets,2001,TRAIN
0.0,2.164240679684176,Suns,2001,TRAIN
0.0,2.2194184622057818,Nuggets,2001,TRAIN
4.0,2.389142559107845,Pistons,2001,TRAIN
2.0,2.68571382396807,Raptors,2001,TRAIN
2.0,2.695538440897371,Pacers,2001,TRAIN
0.0,2.7937840009072894,Heat,2001,TRAIN
4.0,3.0873719135640005,Mavericks,2001,TRAIN
2.0,3.368887624226904,76ers,2001,TRAIN
0.0,3.589140690659838,Bucks,2001,TRAIN
0.0,4.19168113396959,Timberwolves,2001,TRAIN
1.0,4.212592978508662,Magic,2001,TRAIN
10.0,4.3500293547044055,Kings,2001,TRAIN
1.0,4.473339162304946,Jazz,2001,TRAIN
0.0,5.080447263898208,Trail Blazers,2001,TRAIN
4.0,5.150947552108851,Hornets,2001,TRAIN
0.0,5.192660856298003,Knicks,2001,TRAIN
4.0,6.546698019230418,Spurs,2001,TRAIN
15.0,6.708968655371436,Lakers,2001,TRAIN
0.0,-0.6006143582196626,Warriors,2002,TRAIN
0.0,-0.5744319026122335,Nuggets,2002,TRAIN
0.0,0.35722013901431726,Grizzlies,2002,TRAIN
0.0,0.41622613373316675,Bulls,2002,TRAIN
0.0,0.49889981011311146,Cavaliers,2002,TRAIN
0.0,0.7242456265672406,Heat,2002,TRAIN
0.0,0.9864885333282603,Hawks,2002,TRAIN
0.0,1.4234487157311935,Rockets,2002,TRAIN
2.0,2.024798293561309,Suns,2002,TRAIN
0.0,2.21463432474735,Knicks,2002,TRAIN
0.0,2.335832602989299,Clippers,2002,TRAIN
0.0,2.391081269564486,Wizards,2002,TRAIN
0.0,2.4158109479946224,Thunder,2002,TRAIN
0.0,2.4514175380607637,Raptors,2002,TRAIN
4.0,2.89782855827666,Celtics,2002,TRAIN
1.0,3.3716381035195706,Jazz,2002,TRAIN
3.0,3.8577469704087446,Magic,2002,TRAIN
2.0,3.9063210875295806,Pacers,2002,TRAIN
14.0,3.985315671007163,Nets,2002,TRAIN
8.0,4.021240763457542,Pistons,2002,TRAIN
2.0,4.161656189520362,Bucks,2002,TRAIN
6.0,4.485324555335924,76ers,2002,TRAIN
2.0,4.659635823584679,Timberwolves,2002,TRAIN
10.0,5.271147916280771,Mavericks,2002,TRAIN
3.0,5.2762481159297945,Trail Blazers,2002,TRAIN
7.0,5.615369992741293,Kings,2002,TRAIN
16.0,5.7016069690502595,Spurs,2002,TRAIN
6.0,5.837136636467928,Lakers,2002,TRAIN
1.0,-1.3887751162582154,Nuggets,2003,TRAIN
0.0,-0.7697060961859958,Cavaliers,2003,TRAIN
0.0,0.053382814981095095,Clippers,2003,TRAIN
0.0,0.7640640680556743,Raptors,2003,TRAIN
0.0,0.9795314644540287,Wizards,2003,TRAIN
6.0,1.25662045335847,Heat,2003,TRAIN
0.0,1.3174821401307213,Grizzlies,2003,TRAIN
0.0,1.3289652816896325,Thunder,2003,TRAIN
0.0,1.3459933831365598,Jazz,2003,TRAIN
0.0,1.457261674239095,Trail Blazers,2003,TRAIN
0.0,1.5183955255985542,Hawks,2003,TRAIN
1.0,2.1957365661577786,Bucks,2003,TRAIN
0.0,2.2702072643921247,Bulls,2003,TRAIN
0.0,2.3720766938739435,Magic,2003,TRAIN
0.0,2.6529288700282243,Suns,2003,TRAIN
0.0,2.65393929781292,Celtics,2003,TRAIN
0.0,2.9083141810896493,Warriors,2003,TRAIN
0.0,3.2578504160871478,76ers,2003,TRAIN
10.0,3.2958673091320083,Pacers,2003,TRAIN
7.0,3.3140877985963955,Nets,2003,TRAIN
0.0,3.929296409554448,Knicks,2003,TRAIN
16.0,4.182047602450343,Pistons,2003,TRAIN
6.0,4.8041369505544065,Spurs,2003,TRAIN
10.0,4.852036701674312,Timberwolves,2003,TRAIN
1.0,4.968315822635077,Rockets,2003,TRAIN
3.0,5.188879625861709,Pelicans,2003,TRAIN
13.0,7.034536284702318,Lakers,2003,TRAIN
7.0,7.158586131188398,Kings,2003,TRAIN
1.0,7.92586272600944,Mavericks,2003,TRAIN
2.0,-1.3799811068297139,Bulls,2004,TRAIN
4.0,-0.2725840231047676,Wizards,2004,TRAIN
0.0,-0.09158950364288687,Clippers,2004,TRAIN
0.0,0.05305548153027306,Hawks,2004,TRAIN
0.0,0.6412505751927275,Jazz,2004,TRAIN
0.0,0.6731936811291197,Magic,2004,TRAIN
1.0,0.7890960210671749,76ers,2004,TRAIN
1.0,1.2054996889982088,Nuggets,2004,TRAIN
0.0,1.507520318153187,Raptors,2004,TRAIN
0.0,1.61868770294582,Bucks,2004,TRAIN
0.0,1.8873709649773533,Nets,2004,TRAIN
0.0,2.0892634254761258,Pelicans,2004,TRAIN
0.0,2.5002512590435955,Trail Blazers,2004,TRAIN
6.0,2.5041934931983296,Thunder,2004,TRAIN
0.0,2.6024775067843264,Cavaliers,2004,TRAIN
0.0,2.820378104116932,Grizzlies,2004,TRAIN
0.0,2.8394437054196606,Warriors,2004,TRAIN
3.0,2.886365241421361,Celtics,2004,TRAIN
0.0,3.0669844052042143,Knicks,2004,TRAIN
9.0,3.1868381721398946,Suns,2004,TRAIN
15.0,4.140018426018049,Pistons,2004,TRAIN
0.0,4.330850518872149,Lakers,2004,TRAIN
11.0,4.418956701498153,Heat,2004,TRAIN
6.0,4.434770983718858,Pacers,2004,TRAIN
6.0,5.172023176898744,Mavericks,2004,TRAIN
16.0,5.439408922212316,Spurs,2004,TRAIN
1.0,5.44878574634733,Kings,2004,TRAIN
3.0,5.64005283660639,Rockets,2004,TRAIN
0.0,6.711375105681922,Timberwolves,2004,TRAIN
0.0,-1.8927337821405184,Hawks,2005,TRAIN
0.0,-1.7249616170585425,Pelicans,2005,TRAIN
0.0,-0.7685234292902146,Trail Blazers,2005,TRAIN
0.0,-0.4566799074376431,Hornets,2005,TRAIN
0.0,0.15273688492607373,Jazz,2005,TRAIN
0.0,0.639847498488407,Raptors,2005,TRAIN
0.0,0.9949595987731463,76ers,2005,TRAIN
1.0,1.2597928423117668,Bucks,2005,TRAIN
0.0,1.2711079133024281,Celtics,2005,TRAIN
0.0,1.467014148937659,Thunder,2005,TRAIN
2.0,1.5225119813557768,Bulls,2005,TRAIN
3.0,1.5689930025415713,Lakers,2005,TRAIN
0.0,1.8643155108326703,Magic,2005,TRAIN
7.0,1.8900597084937063,Clippers,2005,TRAIN
0.0,1.9072128423910153,Knicks,2005,TRAIN
0.0,2.6190679004555264,Warriors,2005,TRAIN
0.0,2.6531168910704754,Timberwolves,2005,TRAIN
2.0,2.989747622630883,Pacers,2005,TRAIN
7.0,3.049802553872339,Cavaliers,2005,TRAIN
0.0,3.2747256814394503,Grizzlies,2005,TRAIN
2.0,3.2930440449373957,Wizards,2005,TRAIN
1.0,3.9103716580695425,Nuggets,2005,TRAIN
14.0,4.057883261183808,Mavericks,2005,TRAIN
5.0,4.341422643248528,Nets,2005,TRAIN
2.0,4.368936013412562,Kings,2005,TRAIN
10.0,4.808547241568469,Suns,2005,TRAIN
0.0,5.088784117313042,Rockets,2005,TRAIN
10.0,6.28737004794969,Pistons,2005,TRAIN
16.0,6.552603843146272,Heat,2005,TRAIN
7.0,7.56545038028275,Spurs,2005,TRAIN
0.0,-0.10986149999466299,Trail Blazers,2006,TRAIN
0.0,0.0916763202116555,Hornets,2006,TRAIN
2.0,0.6242386156879771,Raptors,2006,TRAIN
5.0,0.876278474869937,Warriors,2006,TRAIN
0.0,0.9915034514040444,Bucks,2006,TRAIN
0.0,1.0306450564010332,Celtics,2006,TRAIN
1.0,1.116806633598625,Nuggets,2006,TRAIN
0.0,1.154166280175658,Grizzlies,2006,TRAIN
0.0,1.2023730489148141,Knicks,2006,TRAIN
0.0,1.4675410223138208,Hawks,2006,TRAIN
0.0,1.4819775393335044,Pacers,2006,TRAIN
0.0,1.6291516644126531,76ers,2006,TRAIN
0.0,1.7178579363392124,Pelicans,2006,TRAIN
0.0,1.8159494941610057,Magic,2006,TRAIN
0.0,2.053159479256926,Clippers,2006,TRAIN
0.0,2.10882314053193,Thunder,2006,TRAIN
0.0,2.6779223008345974,Timberwolves,2006,TRAIN
0.0,2.9192089849418235,Wizards,2006,TRAIN
6.0,3.0856816523480672,Bulls,2006,TRAIN
9.0,3.0924185744270183,Jazz,2006,TRAIN
3.0,3.15190746348466,Rockets,2006,TRAIN
1.0,3.4123976024742144,Lakers,2006,TRAIN
0.0,3.6548166955422814,Kings,2006,TRAIN
6.0,4.662587064741651,Nets,2006,TRAIN
12.0,5.176096901669778,Cavaliers,2006,TRAIN
0.0,5.759525259816078,Heat,2006,TRAIN
6.0,5.969785462052638,Suns,2006,TRAIN
2.0,6.339235833537099,Mavericks,2006,TRAIN
16.0,6.416205264228452,Spurs,2006,TRAIN
10.0,6.475657609693162,Pistons,2006,TRAIN
0.0,-0.25357311788779713,Trail Blazers,2007,TRAIN
0.0,0.22710595843591896,Grizzlies,2007,TRAIN
0.0,0.6266290185995045,Thunder,2007,TRAIN
2.0,0.7884689857141232,76ers,2007,TRAIN
0.0,0.8006508152417338,Pacers,2007,TRAIN
3.0,0.8323613312861036,Hawks,2007,TRAIN
0.0,0.8546267342236424,Bucks,2007,TRAIN
0.0,1.4559678263310847,Timberwolves,2007,TRAIN
0.0,1.522616634590414,Hornets,2007,TRAIN
0.0,1.8103192009978746,Clippers,2007,TRAIN
0.0,1.881957622328674,Bulls,2007,TRAIN
0.0,2.015558312358584,Warriors,2007,TRAIN
0.0,2.411485744728706,Heat,2007,TRAIN
0.0,2.536283406682584,Knicks,2007,TRAIN
7.0,2.694321928280018,Pelicans,2007,TRAIN
1.0,2.745623608926271,Raptors,2007,TRAIN
5.0,2.906355959422686,Magic,2007,TRAIN
16.0,2.9078613716798913,Celtics,2007,TRAIN
0.0,3.162927427406883,Kings,2007,TRAIN
6.0,3.1633763014298792,Jazz,2007,TRAIN
0.0,3.43160916199415,Nets,2007,TRAIN
0.0,3.680876394342244,Nuggets,2007,TRAIN
7.0,3.850060508601974,Cavaliers,2007,TRAIN
2.0,3.939103051484588,Wizards,2007,TRAIN
14.0,4.068248587722475,Lakers,2007,TRAIN
10.0,4.870713278645664,Pistons,2007,TRAIN
2.0,5.193853154038376,Rockets,2007,TRAIN
9.0,7.266974605841008,Spurs,2007,TRAIN
1.0,7.5816269665455955,Mavericks,2007,TRAIN
1.0,7.936634640238376,Suns,2007,TRAIN
3.0,0.1563759161829772,Heat,2008,TRAIN
0.0,0.23521656752827447,Clippers,2008,TRAIN
0.0,0.45598064484078416,Grizzlies,2008,TRAIN
0.0,0.6229740956696297,Bucks,2008,TRAIN
0.0,0.7196549086827635,Thunder,2008,TRAIN
0.0,0.954006790755066,Kings,2008,TRAIN
0.0,0.9673023764937152,Knicks,2008,TRAIN
0.0,1.0785287398257428,Timberwolves,2008,TRAIN
3.0,1.5378145817669262,Bulls,2008,TRAIN
4.0,1.555424477476465,Hawks,2008,TRAIN
0.0,1.7131796289447732,Warriors,2008,TRAIN
0.0,1.8198283969146496,Nets,2008,TRAIN
0.0,2.4225575144096,Pacers,2008,TRAIN
0.0,2.627241956667046,Raptors,2008,TRAIN
0.0,2.6560032947866765,Hornets,2008,TRAIN
0.0,2.699849077369704,Wizards,2008,TRAIN
2.0,2.8089447998206745,Trail Blazers,2008,TRAIN
10.0,3.652183346216275,Nuggets,2008,TRAIN
1.0,4.005781942680102,Jazz,2008,TRAIN
2.0,4.511368256737853,76ers,2008,TRAIN
5.0,4.924965084006674,Mavericks,2008,TRAIN
10.0,4.953051921948626,Cavaliers,2008,TRAIN
13.0,4.981801484028579,Magic,2008,TRAIN
16.0,5.218859595785286,Lakers,2008,TRAIN
1.0,5.329209550908461,Spurs,2008,TRAIN
0.0,5.530062019839484,Suns,2008,TRAIN
0.0,5.748470443254584,Pistons,2008,TRAIN
7.0,5.750130205465207,Rockets,2008,TRAIN
7.0,6.052714015004435,Celtics,2008,TRAIN
1.0,6.141479345759086,Pelicans,2008,TRAIN
0.0,-0.7943210827166403,Wizards,2009,TRAIN
0.0,-0.6528469771169254,Kings,2009,TRAIN
0.0,-0.5227521762655991,Timberwolves,2009,TRAIN
2.0,-0.3817537816857186,Thunder,2009,TRAIN
0.0,0.21218284480251492,Warriors,2009,TRAIN
0.0,1.1588275986566996,Clippers,2009,TRAIN
0.0,1.1695735922248074,Grizzlies,2009,TRAIN
1.0,1.7947287509724277,Bulls,2009,TRAIN
0.0,1.8043199157684886,Raptors,2009,TRAIN
0.0,1.8176399117339872,Nets,2009,TRAIN
0.0,1.9888451332592025,Knicks,2009,TRAIN
0.0,2.1051376642081125,Pacers,2009,TRAIN
3.0,2.2657781657066782,Bucks,2009,TRAIN
0.0,3.0132223913005465,76ers,2009,TRAIN
10.0,3.26442514686098,Suns,2009,TRAIN
2.0,3.287595647054414,Trail Blazers,2009,TRAIN
0.0,3.496530230529815,Hornets,2009,TRAIN
0.0,3.5963819353641577,Pistons,2009,TRAIN
0.0,3.7222788766869996,Rockets,2009,TRAIN
4.0,3.8210969908795143,Jazz,2009,TRAIN
1.0,3.8655861713812905,Heat,2009,TRAIN
0.0,4.792112224900125,Pelicans,2009,TRAIN
4.0,4.824124584587383,Spurs,2009,TRAIN
2.0,4.828595183905188,Nuggets,2009,TRAIN
4.0,5.582997004483191,Hawks,2009,TRAIN
10.0,6.955264154965887,Magic,2009,TRAIN
15.0,7.082655313144621,Celtics,2009,TRAIN
2.0,7.213227104261452,Mavericks,2009,TRAIN
16.0,7.3398916659543225,Lakers,2009,TRAIN
6.0,7.933463663309494,Cavaliers,2009,TRAIN
0.0,-2.074113102345308,Timberwolves,2010,TRAIN
0.0,-1.4876779262145172,Nets,2010,TRAIN
0.0,-0.2631953216046914,Wizards,2010,TRAIN
0.0,0.47501018951247076,Warriors,2010,TRAIN
0.0,0.7284229546464682,Kings,2010,TRAIN
0.0,1.142948885952557,Raptors,2010,TRAIN
0.0,1.1893888126897263,Clippers,2010,TRAIN
0.0,1.304507091218626,Knicks,2010,TRAIN
