Actual,Prediction,Team,Season,SUBSET
0.0,-2.4301395551171074,Bulls,2001,TRAIN
0.0,-1.418796548254912,Grizzlies,2001,TRAIN
0.0,-1.162999586492897,Warriors,2001,TRAIN
0.0,-0.4202920106270067,Hawks,2001,TRAIN
11.0,0.11135071078676972,Nets,2001,TRAIN
0.0,0.19733277738720334,Wizards,2001,TRAIN
0.0,1.3676524207691099,Clippers,2001,TRAIN
0.0,1.549547937455526,Rockets,2001,TRAIN
2.0,1.6239457461886802,Thunder,2001,TRAIN
0.0,1.6723317256729677,Cavaliers,2001,TRAIN
0.0,2.0175437707746147,Nuggets,2001,TRAIN
9.0,2.3143564792629423,Celtics,2001,TRAIN
4.0,2.3828004753935037,Pistons,2001,TRAIN
2.0,2.4206413712730415,Pacers,2001,TRAIN
2.0,2.5375313311271044,Raptors,2001,TRAIN
0.0,2.6024462102032992,Suns,2001,TRAIN
0.0,3.071808820405451,Heat,2001,TRAIN
4.0,3.512646239257886,Mavericks,2001,TRAIN
0.0,3.7791104530423145,Bucks,2001,TRAIN
1.0,4.050475201640469,Magic,2001,TRAIN
0.0,4.100318867187348,Timberwolves,2001,TRAIN
2.0,4.182915311439088,76ers,2001,TRAIN
10.0,4.238375659776356,Kings,2001,TRAIN
0.0,4.973918176912161,Trail Blazers,2001,TRAIN
1.0,5.038892993370807,Jazz,2001,TRAIN
4.0,5.405251453605582,Hornets,2001,TRAIN
4.0,6.247076795506062,Spurs,2001,TRAIN
0.0,6.816048024625352,Knicks,2001,TRAIN
15.0,6.923828027907343,Lakers,2001,TRAIN
0.0,-1.16325968872958,Warriors,2002,TRAIN
0.0,-1.0798693856038075,Nuggets,2002,TRAIN
0.0,-0.6964922310678254,Grizzlies,2002,TRAIN
0.0,0.13356791431997372,Rockets,2002,TRAIN
0.0,0.1950333440621117,Bulls,2002,TRAIN
0.0,0.7007881165481344,Cavaliers,2002,TRAIN
0.0,1.2224071853787746,Hawks,2002,TRAIN
0.0,1.7185991515401322,Thunder,2002,TRAIN
2.0,1.8109445082625446,Suns,2002,TRAIN
0.0,1.8143669172129586,Wizards,2002,TRAIN
0.0,1.8702031041524023,Clippers,2002,TRAIN
0.0,2.0689306606534954,Heat,2002,TRAIN
0.0,2.2441664118606717,Knicks,2002,TRAIN
0.0,2.7029427894089437,Raptors,2002,TRAIN
14.0,3.1186883290454355,Nets,2002,TRAIN
2.0,3.2299483788273187,Bucks,2002,TRAIN
3.0,3.2600952477562184,Magic,2002,TRAIN
1.0,3.490650853238656,Jazz,2002,TRAIN
6.0,3.502826667945008,76ers,2002,TRAIN
4.0,3.5416329569005103,Celtics,2002,TRAIN
8.0,3.786841187098865,Pistons,2002,TRAIN
2.0,4.1101929960811585,Pacers,2002,TRAIN
2.0,4.430327652723093,Timberwolves,2002,TRAIN
3.0,4.633532453884939,Trail Blazers,2002,TRAIN
10.0,4.859513080836384,Mavericks,2002,TRAIN
7.0,5.138654357459934,Kings,2002,TRAIN
6.0,5.610018155639393,Lakers,2002,TRAIN
16.0,5.681781679417079,Spurs,2002,TRAIN
1.0,-1.6262930492332353,Nuggets,2003,TRAIN
0.0,-0.4023439277788263,Cavaliers,2003,TRAIN
0.0,-0.019900820123281093,Clippers,2003,TRAIN
0.0,0.21507886087288997,Grizzlies,2003,TRAIN
0.0,0.49035166941851305,Wizards,2003,TRAIN
