Actual,Prediction,Team,Season,SUBSET
0.0,-1.5085865555388915,Bulls,2001,TRAIN
0.0,-0.7617141894845854,Grizzlies,2001,TRAIN
0.0,-0.49570464414600013,Warriors,2001,TRAIN
0.0,-0.1385254927976319,Hawks,2001,TRAIN
0.0,0.36200249528924144,Wizards,2001,TRAIN
0.0,0.9810721120710066,Clippers,2001,TRAIN
0.0,1.2041416629345014,Rockets,2001,TRAIN
0.0,1.2977727144480387,Nuggets,2001,TRAIN
11.0,1.480184348016451,Nets,2001,TRAIN
0.0,1.4851440350932972,Cavaliers,2001,TRAIN
2.0,1.859158034923201,Pacers,2001,TRAIN
2.0,2.152693192165402,Thunder,2001,TRAIN
0.0,2.1905502913363986,Suns,2001,TRAIN
0.0,2.9418305208823696,Heat,2001,TRAIN
0.0,2.9609780797818703,Timberwolves,2001,TRAIN
4.0,3.0621369304748187,Pistons,2001,TRAIN
2.0,3.1971859287778543,Raptors,2001,TRAIN
9.0,3.2674111905129837,Celtics,2001,TRAIN
1.0,3.4150124209188584,Magic,2001,TRAIN
0.0,3.4632806469485287,Trail Blazers,2001,TRAIN
4.0,3.5330669342576257,Mavericks,2001,TRAIN
10.0,3.979606500120486,Kings,2001,TRAIN
1.0,4.539921674609211,Jazz,2001,TRAIN
4.0,4.660228732634246,Hornets,2001,TRAIN
0.0,4.675083979019367,Bucks,2001,TRAIN
2.0,5.0865314133016035,76ers,2001,TRAIN
4.0,6.012465776603931,Spurs,2001,TRAIN
0.0,7.138374352956314,Knicks,2001,TRAIN
15.0,8.569296879554402,Lakers,2001,TRAIN
0.0,-0.7500483268348838,Warriors,2002,TRAIN
0.0,-0.46968664540089705,Nuggets,2002,TRAIN
0.0,-0.2736913158371417,Grizzlies,2002,TRAIN
0.0,0.043250376636578255,Bulls,2002,TRAIN
0.0,0.23635882039151976,Cavaliers,2002,TRAIN
0.0,0.4255448340579869,Rockets,2002,TRAIN
0.0,0.9174892636211248,Hawks,2002,TRAIN
0.0,1.4718420069324385,Knicks,2002,TRAIN
0.0,1.5609605163600124,Wizards,2002,TRAIN
0.0,1.5799465980610343,Heat,2002,TRAIN
0.0,1.5991987493006719,Thunder,2002,TRAIN
0.0,1.67156741452197,Clippers,2002,TRAIN
0.0,2.495921552991501,Raptors,2002,TRAIN
2.0,2.5251119822713157,Suns,2002,TRAIN
1.0,2.6840737766585434,Jazz,2002,TRAIN
3.0,3.010851993720988,Magic,2002,TRAIN
6.0,3.0658554039820833,76ers,2002,TRAIN
2.0,3.2298547287033403,Pacers,2002,TRAIN
3.0,3.3985800133479,Trail Blazers,2002,TRAIN
2.0,3.414531419620575,Bucks,2002,TRAIN
2.0,3.599130188383796,Timberwolves,2002,TRAIN
8.0,4.076148652988735,Pistons,2002,TRAIN
10.0,4.213775328606049,Mavericks,2002,TRAIN
4.0,4.241805100468435,Celtics,2002,TRAIN
14.0,4.396934697456048,Nets,2002,TRAIN
16.0,4.976432030476972,Spurs,2002,TRAIN
7.0,5.3586450372509775,Kings,2002,TRAIN
6.0,6.069404374125683,Lakers,2002,TRAIN
1.0,-0.844300185376694,Nuggets,2003,TRAIN
0.0,-0.2669632302753392,Cavaliers,2003,TRAIN
0.0,-0.05538466290881813,Clippers,2003,TRAIN
0.0,0.3550306710547631,Grizzlies,2003,TRAIN
0.0,0.3584414640836769,Bulls,2003,TRAIN
0.0,0.6687914731028768,Suns,2003,TRAIN
0.0,0.7648800550815322,Trail Blazers,2003,TRAIN
0.0,0.8304210362569883,Raptors,2003,TRAIN
0.0,0.8332866179297427,Wizards,2003,TRAIN
0.0,0.8846824631611914,Thunder,2003,TRAIN
0.0,0.8951616672650742,Magic,2003,TRAIN
0.0,1.0771468038136112,Hawks,2003,TRAIN
