"","Player","Tm","year"
"1","Aaron Henry  (TW)","PHI","2022"
"2","Isaiah Joe","PHI","2022"
"3","Joel Embiid","PHI","2022"
"4","Danny Green","PHI","2022"
"5","Tyrese Maxey","PHI","2022"
"6","Ben Simmons","PHI","2022"
"7","Furkan Korkmaz","PHI","2022"
"8","Paul Reed","PHI","2022"
"9","Shake Milton","PHI","2022"
"10","Andre Drummond","PHI","2022"
"11","Matisse Thybulle","PHI","2022"
"12","Jaden Springer","PHI","2022"
"13","Seth Curry","PHI","2022"
"14","Georges Niang","PHI","2022"
"15","Tobias Harris","PHI","2022"
"16","DeAndre' Bembry","BRK","2022"
"17","Joe Harris","BRK","2022"
"18","James Harden","BRK","2022"
"19","Patty Mills","BRK","2022"
"20","Alize Johnson","BRK","2022"
"21","Landry Shamet","BRK","2022"
"22","Blake Griffin","BRK","2022"
"23","Day'Ron Sharpe","BRK","2022"
"24","Nicolas Claxton","BRK","2022"
"25","David Duke","BRK","2022"
"26","James Johnson","BRK","2022"
"27","Kevin Durant","BRK","2022"
"28","Kessler Edwards  (TW)","BRK","2022"
"29","Cameron Thomas","BRK","2022"
"30","DeAndre Jordan","BRK","2022"
"31","Bruce Brown","BRK","2022"
"32","Kyrie Irving","BRK","2022"
"33","Sandro Mamukelashvili  (TW)","MIL","2022"
"34","Bryn Forbes","MIL","2022"
"35","Grayson Allen","MIL","2022"
"36","Semi Ojeleye","MIL","2022"
"37","Bobby Portis","MIL","2022"
"38","Donte DiVincenzo","MIL","2022"
"39","Rodney Hood","MIL","2022"
"40","Giannis Antetokounmpo","MIL","2022"
"41","Brook Lopez","MIL","2022"
"42","George Hill","MIL","2022"
"43","Jrue Holiday","MIL","2022"
"44","Khris Middleton","MIL","2022"
"45","Bobby Portis","MIL","2022"
"46","Mamadi Diakite","MIL","2022"
"47","Pat Connaughton","MIL","2022"
"48","Georgios Kalaitzakis","MIL","2022"
"49","Elijah Bryant","MIL","2022"
"50","Jordan Nwora","MIL","2022"
"51","Thanasis Antetokounmpo","MIL","2022"
"52","Alec Burks","NYK","2022"
"53","Luca Vildoza","NYK","2022"
"54","Kevin Knox","NYK","2022"
"55","Evan Fournier","NYK","2022"
"56","Miles McBride","NYK","2022"
"57","Mitchell Robinson","NYK","2022"
"58","Dwayne Bacon","NYK","2022"
"59","Quentin Grimes","NYK","2022"
"60","RJ Barrett","NYK","2022"
